id;status;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;false;Principado Ordenador;2022-06-17T13:38:00;schemas;2022-06-17T13:27:03;Descentralizado B2C
2;true;Azul Madera;2022-06-17T00:17:49;Extremadura Rústico navigating;2022-06-17T11:01:19;bandwidth Card
3;true;blockchains override;2022-06-17T14:21:08;out-of-the-box Cine;2022-06-17T07:29:42;Pula
4;true;optical parse;2022-06-17T12:43:22;optimizada Genérico;2022-06-17T09:46:09;Muelle complejidad
5;true;experiences bidireccional;2022-06-17T03:37:58;arquitectura;2022-06-16T20:53:26;markets Práctico
6;true;Chalet Morado estandardización;2022-06-16T21:52:57;dot-com Cantabria;2022-06-17T09:55:04;solid
7;false;Hormigon overriding;2022-06-16T23:52:45;Canarias;2022-06-17T00:43:22;Técnico
8;false;Explanada;2022-06-17T13:09:19;Métricas Taiwan Operativo;2022-06-17T05:20:06;Plástico
9;false;Metal Distrito;2022-06-17T08:54:09;Loan Sabroso;2022-06-17T05:25:54;Galicia
10;false;back-end;2022-06-17T00:40:50;Tácticas Buckinghamshire;2022-06-16T20:49:40;Ladrillo
