id;nombre;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;bandwidth;index 24/365;2022-06-17T08:21:51;multi-byte synthesizing Avon;2022-06-17T10:36:38;Ouguiya
2;program;AI Nigeria Bulgarian;2022-06-17T06:16:37;Plaza portal implementación;2022-06-17T17:02:18;technologies
3;Cantabria virtual;Seguridada Avon;2022-06-17T13:27:15;Granada transform;2022-06-17T15:59:24;AI hacking initiatives
4;redundant integrated Bahamas;withdrawal Gorro hard;2022-06-17T13:38:54;virtual Cambridgeshire;2022-06-17T01:13:35;unleash
5;Optimización multi-byte;Central;2022-06-16T22:30:05;Guapa Uganda terciaria;2022-06-17T09:26:21;Informática intuitive Account
6;de auxiliary;Pantalones;2022-06-16T20:39:03;4th;2022-06-17T01:16:05;innovadora Savings
7;Rial;withdrawal Extremadura;2022-06-16T22:20:52;Algodón parsing Planificador;2022-06-17T15:27:24;Coche Funcionario Cambridgeshire
8;override;León Dollar;2022-06-17T16:28:31;Deportes cross-platform;2022-06-17T00:52:25;infrastructures
9;intangible;reboot;2022-06-16T22:54:41;colaboración;2022-06-16T23:52:09;invoice
10;Cliente;alarm transmitter sexy;2022-06-17T10:12:53;24/7 brand;2022-06-17T03:39:58;transmitter Hogar
