id;fecha;numero_serie;color;status;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;2022-06-17;Lilangeni;Amarillo;false;orientado Especialista Ensalada;2022-06-17T12:12:55;vertical Principado deposit;2022-06-17T16:34:32;Madera aggregate Avon
2;2022-06-17;applications;Negro;false;Ladrillo Marketing bypass;2022-06-17T01:40:36;modelo Librería website;2022-06-17T03:05:51;Coordinador magnetic
3;2022-06-17;array real-time Asturias;Blanco;true;Marroquinería;2022-06-16T19:54:16;nueva Rupee;2022-06-17T07:21:09;paralelismo Gorro synergies
4;2022-06-16;alarm;Rojo;false;Acero;2022-06-17T13:11:22;grow feed Lado;2022-06-16T21:22:31;Madera withdrawal web-readiness
5;2022-06-17;Decoración blockchains Rojo;Amarillo;false;migración;2022-06-16T19:53:28;Salchichas Bedfordshire cultivate;2022-06-17T07:18:55;Granito Guantes intuitive
6;2022-06-16;asimétrica;Rojo;true;Oficial Poland recontextualize;2022-06-17T13:36:02;bluetooth e-business;2022-06-17T04:32:17;Operativo Electrónica pixel
7;2022-06-17;Caserio Bedfordshire Guapo;Violeta;false;digital Raton Toallas;2022-06-17T11:08:20;Burundi Tanzania;2022-06-17T17:45:00;Usabilidad invoice innovadora
8;2022-06-17;Rústico Agente capa;Morado;false;de SQL Atún;2022-06-17T07:59:44;efficient;2022-06-17T17:40:21;hack Salud Account
9;2022-06-16;Ladrillo Configuración;Violeta;false;Raton;2022-06-16T21:18:01;EXE collaborative;2022-06-17T04:46:14;whiteboard Iraqi
10;2022-06-17;JBOD;Gris;false;enable Sabroso hard;2022-06-17T12:25:50;a;2022-06-17T07:29:44;Marketing
