id;fecha;tipo_pago;monto;area;identificador;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;2022-06-17;Toallas haptic schemas;68074;Account;política;Galicia;2022-06-17T14:05:41;Juguetería;2022-06-17T06:42:02;Ejecutivo moderador Caserio
2;2022-06-17;Granito Hormigon Sabroso;78428;auxiliary;Congolese Opcional Principado;Andalucía Futuro Queso;2022-06-17T03:06:32;extranet Fantástico USB;2022-06-17T04:55:33;Tailandia Granito Urbanización
3;2022-06-17;Loan;91507;program innovadora Baht;hardware;Orgánico AI Orígenes;2022-06-16T19:32:13;index el robust;2022-06-17T03:17:01;Pizza
4;2022-06-16;Genérico;52358;Marroquinería;cross-platform withdrawal;Hormigon Gris;2022-06-16T22:01:42;deposit Chile application;2022-06-16T20:30:31;Cantabria Blanco architect
5;2022-06-17;Madera;42340;Borders;Afganistán application;innovate;2022-06-17T18:54:35;Rojo;2022-06-16T22:12:28;Interno Salchichas
6;2022-06-17;Práctico deposit;19780;input Implementado;auxiliary enterprise CSS;por Asociado;2022-06-17T05:37:54;engineer grupo Raton;2022-06-17T17:50:47;parsing
7;2022-06-17;Investment Ergonómico;67664;Bricolaje visionary compress;payment Salud impactful;leverage bypassing Avon;2022-06-17T07:40:20;Productor wireless Consultor;2022-06-17T13:35:10;Cuentas
8;2022-06-16;Holanda technologies;50302;Franc archivo Metical;Librería deposit;mobile;2022-06-17T02:34:34;en Métricas Rústico;2022-06-17T12:15:19;transmitter Omán program
9;2022-06-17;area;85268;Operaciones;Berkshire Gris incentivize;intuitive Refinado;2022-06-17T15:45:21;Ladrillo;2022-06-16T21:00:02;Deportes
10;2022-06-17;Funcionalidad Guapa Rampa;61346;Orígenes;Botswana Bacon;wireless up deposit;2022-06-17T03:58:42;Amarillo Orígenes system;2022-06-17T15:11:13;Bélgica Configuración
