id;nombre;marca;tipo;cantidad;unidad_medida;material;color;uso;descripcion;descripcion_content_type;otros;otros_content_type;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;actitud;Dinánmico;complejidad Buckinghamshire Morado;24552;Borders GB Rústico;Práctico deposit synergistic;Verde;a Gorro Canada;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Datos arquitectura repurpose;2022-06-17T06:21:40;Gorro;2022-06-17T06:10:13;Berkshire
2;Sum Azul Profundo;multitarea;transition;37847;objetos invoice;Extrarradio;Blanco;Ladrillo port;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;withdrawal Navarra Ucrania;2022-06-17T11:19:56;Edificio Queso Guapa;2022-06-17T02:43:20;state Sabroso Buckinghamshire
3;Cine Atún;Kenia;Franc;95011;XSS Heredado;e-markets deposit;Violeta;Coche Camiseta;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;previsión Personal;2022-06-17T05:13:53;de;2022-06-17T11:44:49;group Checking
4;y solución European;Automatizado Masía data-warehouse;Violeta;40288;experiences;concepto AI Facilitador;Amarillo;Borders;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Colonia;2022-06-17T04:48:11;transmit;2022-06-17T16:13:17;real a
5;Implementado multiestado Dollar;Algodón navigate paralelismo;moderador;17872;e-enable;ejecutiva Chalet;Morado;Bicicleta;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Negro;2022-06-17T17:28:14;Dalasi Bebes;2022-06-16T22:33:32;enhance
6;funcionalidad Bicicleta;FTP extranet;Account;3447;backing;circuit Salida;Violeta;Gris;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Cliente front-end;2022-06-16T19:54:21;Orígenes Franc estrategia;2022-06-17T14:28:13;Account del Mobilidad
7;arquitectura Nauru;Cantabria Negro bus;Central Cambridgeshire Guapa;93523;Rojo;Auto Mesa methodologies;Negro;Blanco;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;navigating;2022-06-17T04:59:46;Zapatos Loan;2022-06-17T02:43:02;Innovador input
8;Comoro Madera;Oficial;wireless Web brand;9885;Madera Intercambiable bluetooth;Interacciones;Rojo;web-readiness Subida transmit;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Berkshire Ruble;2022-06-17T06:45:13;optical;2022-06-17T09:17:17;Tácticas cross-platform Corea
9;Algodón;HDD;Bacon;94641;Ensalada Algodón Parafarmacia;transparent Barranco indexing;Gris;monitorizar Violeta;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Parcela Granito;2022-06-17T16:49:00;Loan Ladrillo interface;2022-06-17T12:00:27;Checking
10;Convertible;Monitorizado;invoice Dirham;30064;Cambridgeshire;target AI;Morado;Marroquinería Coche Account;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Iceland la valor;2022-06-17T00:07:47;payment Avon JBOD;2022-06-16T20:37:01;Verde
