id;fecha;status;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;2022-06-17;Atendida;Cambridgeshire Funcionalidad grow;2022-06-16T22:44:03;Avon;2022-06-17T14:37:28;transmitting
2;2022-06-17;Atendida;Humano;2022-06-17T07:26:28;eyeballs Persistente Bacon;2022-06-16T20:48:18;synergize user-centric Pound
3;2022-06-17;Atendida;Diverso Indonesia overriding;2022-06-17T07:07:28;technologies communities;2022-06-17T05:35:58;Account Electrónica Azerbayán
4;2022-06-16;Atendida;cross-media;2022-06-16T23:07:10;reintermediate Granito;2022-06-17T14:40:42;up
5;2022-06-16;Pospuesta;Madera Asociado Pequeño;2022-06-16T20:52:59;Dinamarca Bulgarian;2022-06-17T05:00:14;Lado
6;2022-06-17;Cancelada;COM;2022-06-16T22:42:20;Pound;2022-06-17T17:38:53;application Somalia
7;2022-06-17;Cancelada;synergies;2022-06-17T06:39:37;Nueva Bicicleta;2022-06-17T00:59:30;Toallas state
8;2022-06-17;Pospuesta;Guapa;2022-06-17T14:11:32;SMTP;2022-06-17T16:43:34;Marketing seamless
9;2022-06-16;Atendida;scalable bifurcada;2022-06-17T06:43:06;Baleares;2022-06-17T17:23:09;Extrarradio Genérico
10;2022-06-17;Cancelada;implementación Account Omán;2022-06-17T13:11:54;Compartible Mascotas SMTP;2022-06-17T03:34:49;Gris Gris one-to-one
