id;marca;submarca;modelo;generacion;tipo_vehiculo;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;user-centric Cambridgeshire Hogar;multitarea Monte;Violeta;asimétrica e-services indexing;vía;Cataluña Descentralizado;2022-06-17T12:30:10;evolve leading-edge morph;2022-06-17T02:58:56;Zapatos THX
2;Manzana Borders Sincronizado;Monte Silla;deposit generating;cross-platform;application Savings payment;Jefe;2022-06-17T07:32:42;blockchains Optimización;2022-06-16T23:32:50;navigating programming
3;withdrawal Aplicaciones SMTP;sensor;Implementación Multi Personal;connect Loan;relationships;programming multitarea partnerships;2022-06-16T21:04:46;Valenciana;2022-06-17T00:49:26;Cataluña frictionless
4;Municipio invoice Web;seamless Moroccan;Hormigon Yemeni Cambridgeshire;Alemania Checking Franc;Soluciones;hack hack JSON;2022-06-17T03:37:55;Representante;2022-06-17T16:45:37;index Carretera
5;Artesanal;Naira;regional;blockchains;Teclado Account Berkshire;Seguro no-volátil virtual;2022-06-16T22:38:17;transform;2022-06-17T06:14:29;Jefe Verde Blanco
6;Salchichas;Barein conjunto abierto;Granito;Open-source transicional Account;Ergonómico Guatemala Violeta;uniforme Bajada alianza;2022-06-16T23:05:21;array;2022-06-17T07:45:25;Zapatos Orígenes Latvian
7;functionalities panel;Bebes methodologies fases;Región;Implementación Bacon;Técnico Interno;Rojo;2022-06-17T16:22:08;En Amarillo mobile;2022-06-17T04:53:10;connect
8;application;utilize SSL Dollar;Granito Pre-emptivo;Credit;hibrida Extremadura;Inteligente Granito;2022-06-17T15:47:29;Quinta Buckinghamshire;2022-06-17T03:26:19;China International
9;Madera;Marca;Ariary back conglomeración;regional digital Vanuatu;Mauritania;Toallas Rial compelling;2022-06-17T15:08:46;withdrawal arquitectura Bebes;2022-06-17T07:08:33;Azul Violeta
10;Investment feed;regional Rampa;Samoa Heredado Argelia;Senda;end-to-end Adelante Etiopía;Account Galicia Deportes;2022-06-17T06:17:39;Moda;2022-06-17T04:22:20;calculating HDD
