id;accion;fecha_hora_estimada;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;deposit configurable;2022-06-17T05:39:02;JBOD;2022-06-17T12:47:20;Optimización Russian;2022-06-17T11:45:02;Rampa Vietnam Parafarmacia
2;payment schemas Facilitador;2022-06-17T07:48:47;Granada Parafarmacia Account;2022-06-16T20:17:21;deliverables JSON;2022-06-17T03:54:47;Metal Director
3;deposit;2022-06-17T06:01:08;Account Amarillo bus;2022-06-16T19:59:05;Agente Coche;2022-06-17T07:41:00;León EXE
4;Plástico Auto de;2022-06-17T16:25:36;Loan en RSS;2022-06-17T14:59:39;Bacon;2022-06-17T02:19:37;FTP Mascotas generating
5;services quantifying;2022-06-17T06:31:38;valor bidireccional;2022-06-17T01:25:35;Amarillo;2022-06-17T06:47:14;Madera
6;PCI;2022-06-17T01:12:26;plug-and-play;2022-06-17T17:39:36;supply-chains Soporte Dollar;2022-06-16T20:38:36;invoice Cambridgeshire override
7;COM;2022-06-17T16:57:14;Visionario TCP;2022-06-17T15:30:08;Infraestructura Intercambiable;2022-06-17T12:32:17;wireless Acero Rusia
8;Agente application Account;2022-06-16T20:22:11;Corporativo Electrónica;2022-06-17T09:47:16;primary calculate;2022-06-17T09:58:01;Masía repurpose Director
9;e-enable invoice;2022-06-17T17:08:07;España Raton;2022-06-17T08:01:18;Verde deposit Inteligente;2022-06-17T14:52:28;firewall seamless Partida
10;benchmark;2022-06-17T14:31:51;Distrito;2022-06-17T09:30:18;Bebes world-class;2022-06-17T00:29:46;Metal
