id;nombre;tipo_sucursal;telefono;status;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;microchip e-business;orquestar Toallas;Loan Cambridgeshire Estratega;true;de;2022-06-17T14:45:00;IB;2022-06-17T03:55:53;Distrito
2;Administrador auxiliary Iraqi;matrix hardware Ejecutivo;Baleares;false;incremental parse Borders;2022-06-17T11:06:29;back Maldivas Pantalones;2022-06-17T00:00:09;Avon
3;Account;Oro;up;true;XML Papelería redefine;2022-06-17T04:46:03;Andalucía Argentina withdrawal;2022-06-17T13:00:15;Gestionado
4;Shilling Bricolaje;Directo portals;navigating ubiquitous;true;Humano;2022-06-17T17:24:09;Cuentas Algodón;2022-06-17T18:16:29;Jordanian Cambridgeshire Loan
5;Dram turn-key;Sorprendente;Negro;false;SAS;2022-06-16T19:25:24;wireless Buckinghamshire Obligatorio;2022-06-17T10:38:18;Comunidad
6;complejidad Director;EXE Pequeño Cataluña;PNG Buckinghamshire Baleares;false;program Vasco Madera;2022-06-16T18:57:17;Tácticas;2022-06-16T19:24:15;Datos
7;driver calculate;programming Mercado;Oficial open-source;false;quantify data-warehouse Personal;2022-06-16T21:54:36;Auto AI;2022-06-17T04:32:17;Avenida Subida
8;Comunidad;Marca bypass Aplicaciones;Opcional leading-edge Morado;true;Lugar Salchichas input;2022-06-17T07:36:53;Algodón;2022-06-16T23:57:10;Credit
9;International;Negro Account;holistic Rampa Account;false;Guapo payment;2022-06-17T05:24:10;Pula;2022-06-17T09:38:50;Orígenes brand
10;Programa deposit;Parafarmacia;portals;false;deposit Mesa extensible;2022-06-17T14:44:25;multi-byte Técnico Cuba;2022-06-17T11:51:01;bandwidth payment Negro
