id;calle;numero_exterior;numero_interior;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;communities;98063;Juguetería Pantalones;JBOD SQL;2022-06-16T19:09:21;transmit primary;2022-06-17T13:53:51;Violeta
2;Hormigon Unit Ingeniero;5720;Facilitador firmware;Sabroso;2022-06-17T18:32:05;enable deposit;2022-06-16T19:20:48;out-of-the-box
3;infomediaries Raton;82515;Salchichas Central Queso;Account Agente radical;2022-06-17T01:02:44;Plástico Madera channels;2022-06-17T02:05:05;Madera
4;Cedi invoice;85316;Pizza;24 Interno;2022-06-16T19:02:54;Genérico interface;2022-06-17T14:52:58;Futuro Refinado
5;virtual Litas;25602;transmit Inteligente;turn-key Orígenes soporte;2022-06-17T04:05:03;Amarillo compress markets;2022-06-17T10:41:40;Dinánmico Berkshire Administrador
6;Hormigon;97016;Honduras Terrenos Marroquinería;Blanco Borders;2022-06-17T12:56:00;Extremadura;2022-06-17T11:05:21;Centralizado
7;deposit Director;33700;Estratega quantifying cross-platform;Senda;2022-06-17T16:56:02;multitarea;2022-06-17T18:31:54;bleeding-edge intuitive
8;Rincón;438;generating Azul;Islandia PCI;2022-06-17T15:06:24;Infraestructura;2022-06-17T00:46:01;Algodón Dollar
9;Avon;25111;override Berkshire;Cambridgeshire innovate;2022-06-17T08:29:37;neutral Joyería Castilla;2022-06-17T03:43:32;Increible copying Mancha
10;models Comunidad;40266;connecting Cataluña;implement Pre-emptivo;2022-06-17T03:31:31;Extremadura e-tailers;2022-06-17T10:33:06;Violeta Investment
